motif_token_id,motif_string,mean_att_label0,mean_att_label1,count_label0,count_label1
12299,S,0.13650730000085742,0.09982375325679883,2349,791
2064,C[n+],3.909937965843743e-15,1.0495818040950413e-30,5,5
2087,N,0.021545116829531707,0.03481291120749236,4085,808
4139,C1CC[C@@H]2CC[C@H]1[N+]2,0.2005320520097397,0,5,0
12333,c1c[nH]cnc1,0.6000000309230671,0,5,0
8245,c1ccccc-1,0.07710908259979844,0,13,0
2106,c1ccoc1,0.05131223404493638,0.06184360145611323,361,75
4161,c1cCccSC1,7.218276275835229e-37,0,1,0
4163,c1cccccc1,0.07045126845237903,0.1252466544548211,15,8
2116,c1cn[nH]cn1,0.00037813547533005503,1.0,10,1
4170,c1cOCnc-1,0.15519008922142147,0,26,0
4185,C1/C=C\CCCCOCCCCCCCC1,0.9062468474699046,0,32,0
10330,C1=NCCN1,0.12056750079728043,0.13526413404669899,122,67
4201,C1COccN1,0.2667960112033439,0,147,0
6253,C1CO1,0.024258726431350016,0.09999310911707711,206,20
110,c1ccncc1,0.1287707142912164,0.16111359377207501,3635,777
2157,c1cc[nH][nH]c1,0.999999463558197,0,2,0
2162,C1=NCcn-cc1,0.4999144673347473,0,2,0
6262,C=O,0.012183729468780529,0.010714725999579889,20055,6423
10364,C1CCCCC1,0.04260047335003404,0.05139207320062165,1771,1960
8321,NP,0.015231538094193753,0.0017401855293771673,155,71
8327,Cn,0.04528640516268883,0.028814405206442167,10439,1499
10378,C1OC2CCCC1O2,1.0,0,1,0
141,c1nnn[nH]1,4.492671832189879e-06,0,28,0
142,c1nCCC1,6.149032816157851e-12,0,17,0
4248,c1cocn1,0.6873519380890951,0,15,0
161,C1CCCCCCCCNCCCCO1,1.0,1.0,23,2
2210,C1ccNccC1,0,0.31187684337298077,0,3
2222,P,0.07893922558802491,0.07410798215762275,545,317
8373,C1COCCC1,0.04330052176592797,0,197,0
6326,C1CC=CCC1,0,0.33333594901675423,0,3
6337,c1ncon1,0.32676992212595013,0,9,0
10436,c1cnon1,0.0035943371947389953,0,14,0
2244,c1nccnc-1,0.07692307698115254,0,13,0
200,cI,0.009335579988962618,0.0001209663213843204,191,101
4297,C1=CCCNC1,3.179002399951022e-07,0.006760258038643432,94,26
4304,c1nCCCO1,0.0,0,1,0
8406,c1cC2ccC1CC2,0.28571429439962526,0,7,0
2271,C1cnCCN1,1.1078091169961338e-28,0,4,0
6369,c1nCS1,0.11764705887088714,0,17,0
8419,c1nnnn1,0.14283321988642908,8.90441047238707e-22,21,3
10469,C1NccCN1,0.09003402292728424,0.11554278433322906,2,1
2278,C1CCCCCC/C=C\CCNCCN1,0.6691153073906659,0,27,0
10473,C1CNCS1,0,0.06953809521422914,0,71
8438,C1CCOCC1,0.10709253209409877,0.12493476646534843,343,32
10502,C1/C=C/CCC/C=C/CCCCO1,0.9776536226272583,0,4,0
4365,C1CccCO1,0.10713795667813183,0.1110971193928833,28,9
8468,c1cNSccC1,0.7857142857142857,0,14,0
291,c1cn[C@H]2CCC(n1)O2,0.2628402733062346,0,7,0
296,C1ccSN1,4.423960333413573e-16,0,5,0
8490,C1CC1,0.060850734498900313,0.02641862162646827,1070,211
303,C1ccScc1,0.5303576085452871,0,17,0
2370,C1CCCCOCC/C=C/C=C/C=C\C=C/C=C/C=C/C=C/CCC2CCCC(CCCCCCCCC1)O2,0.9738185271822117,0,37,0
6472,c1cNCCC1,0.001340000075288117,0,4,0
6493,C1CCCCCCCCOCCCC1,0.80564677244382,0.0,303,1
10606,c1cCcc-1,0.541650945879487,0.5,24,2
8559,BC,0.1160446374915235,0.15119951138538973,55,7
10613,C[N+],0.011375954368294517,0.021866482304372867,486,40
8569,c1cncn1,0.22755351651289946,0.3890201723750758,2859,484
10622,C1CNCCNCCNCCNCCNCCN1,0.7910309672276649,0,20,0
8582,CBr,0.9997106194496155,0,1,0
410,OP,0.003231414346496899,0.009769579491920543,750,358
8610,C1cc-cc1,0.10000000000007037,0.003340710653064227,10,16
4517,C1=NccScc1,1.0,1.282124060253409e-07,1,1
425,c1cCccCC1,0.13043294969188587,0,23,0
4523,c1ccCCC1,0.030384429030975307,1.923647267887129e-11,109,13
10684,C1/C=C/C=C\CCOCCCCCCCC1,0.9434924640870397,0,65,0
2494,c1nCCNC1,0.11093094145040065,0,9,0
4544,NN,0.014453553549268541,0.030936333837404333,136,97
2502,B,3.756573939410979e-09,8.831617076840479e-15,55,7
10695,C1CNCC1,0.10700938878617985,0.021785726775824313,317,47
470,SS,1.79788301466033e-05,0,5,0
2522,C1CN2[C@@H]3CCC[C@H]2C[C@@H]1C3,1.0,0,1,0
6627,C[O-],4.309694479917303e-09,0,28,0
2534,[N+][O-],0.004438047680363834,0.015107546694491868,513,64
10737,C1CCCNC1,0.16833936749636466,0.1816349728931171,455,47
10747,c1cnc[nH]c1,0.3816610616663861,0.2857142887388614,142,7
6659,c1cnnn1,0.03804483387346843,1.291420134332443e-32,152,2
10762,C=S,0.027924213494386077,1.4278857869359655e-11,98,41
6669,c1cnCCS1,0.07139196480897274,0,14,0
10778,C1CCSccN1,0.5555457010563531,0,18,0
542,C1ccCCC1,0.21394547849576587,0.0,5,1
2605,c1cCnc-1,2.6367966529602914e-05,7.819069834660486e-10,28,9
6709,c1nn[nH]n1,0.08407806396478736,5.581440596703492e-14,66,2
568,CS,0.01894053922321493,0.02922088855863632,2016,510
6716,c1ccccc1,0.0895217247859708,0.09690132502643274,25792,5118
10814,C1ccCCcc1,0.4666497746017285,0,15,0
2626,C1ccN=CN1,0.11300388024859763,0.10202509414239921,115,67
2638,C1=CNScc1,0.45298273143652795,0,11,0
8789,c1cOCC1,1.0944021091833503e-05,2.8347100870333246e-08,105,3
8790,C1CccCCN1,1.2529284703494126e-08,0,2,0
599,C1CCCCN1,0.12634643438755902,0.15144890341183767,82,8
6752,C1CN=CccN1,0.5040584113341674,0.36230288909590924,197,53
609,nP,0.02081463906778486,3.847116279057873e-06,9,22
613,c1cOCO1,0.012294406057183805,0.0009942990577705285,235,25
10853,C1CCCOC1,0.03385208870668232,0.0900518640010177,1182,90
4710,C1COCC1,0.06451697492484018,7.277457140127026e-20,91,12
8808,C1=CCCCC1,0.06975964692985087,0.04642055757826471,245,43
10862,c1cscn1,0.043122119163493455,0.01740076804580095,738,296
4725,C=N,0.017488863134642,0.011078347231563125,634,183
2678,C1CNCCO[C@@H]2/C=C/CCSSC[C@H](CN1)NCCNCC2,0.7267893073266053,1.3010587052164624e-10,11,1
10878,c1ncncn1,0.13608992443042622,1.6369432125994335e-05,48,8
